"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"cruel","grusom","wreed, barbaars, wreedaardig","julma","cruel","grausam","kejam","crudele","hakujou, hidoi, jaken, mugoi, ingou","acerbus, crudelis, barbarus","grusom","-","cruel","-","grym"
"cucumber","agurk","komkommer","-","concombre","Gurke","mentimun","cetriolo","kyuuri","cucumis","slangeagurk, agurk","pepino","pepino","-","gurka"
"cup","kop","kopje, kop","kuppi","tasse","Pokal/Tasse, Tasse, Becher, Tasse","cangkir","calice, tazza","kappu","-","kopp","chávena, xícara, copo","taza, caliz","kikombe","kopp, bägare"
"custom","sædvane","usance, gewoonte, gebruik","tapa","moralité, coutume","Kunden, kundenspezifisch, Gewohnheit, Kundschaft","adat, kebiasaan","usanza, usanza, uso","korei, shuukan, furiai, rei, joushuu, kourei, saga","mos, consuetudo","bruk, skikk","costume","usanza, costumbre","desturi","sedvänja, vana, sed"
"cycle","cykel","fietsen, wielrijden","polkupyörä, jakso","cycle, bicyclette, pédaler","Ablauf [zeitl.] {m}, Kreisprozess, Zyklus","-","circolazione, andare in bicicletta","saikuru, shuuha, junkan, shuuki","-","sykkel","ciclo, bicicleta","ciclo, bicicleta","baisikeli","cykla"
"dance","bal","bal, danspartij","tanssiaiset","danser, dansent, dansons, dansez, bal, surpat","Tanz, tanzen, tanzen, Tanz","-","ballare, pallone, ballo","dansu, buyou, butoukai, odori","saltare","dans","dança","danza, danzar, bailar, baile","-","dansa"
"danger","fare","hachelijkheid, gevaar","vaara","danger, péril","Gefahr","bahaya","pericolo","kitai, kigai, kinan, kikensei, kiken","periculum","fare","perigo","peligro","hatari","fara, våda"
"dangerous","farlig","gevaarlijk, link, hachelijk","-","dangereux","gefährlich, gefahrbringend, gefährlich","berbahaya","pericoloso","abunakkashii, kennon, kiwadoi, abunai, bussou","acutus","farlig","perigoso","peligroso","-","farlig"
"dark","mørk","somber, donker","-","obscurité","dunkel","-","accigliato, ermetico, oscurità","kuro, mei, kuroppoi, da-ku, myou, kurai, sumizome","obscurus, ater, pullus","mørk, mørkt","escuro","oscuro, obscuridad, tenebroso, umbrio","enye giza","dunkel, mörk"
"Darkness","mørke","duister, duisternis, donker","-","ténèbres, obscurité","Finsternis","-","oscurità, oscurità","ankoku, kuragari, kurayami, yami","caligo","mørke","escuridão","tinieblas, obscuridad, tenebrosidad, oscuridad","giza","mörker"
"date","datum, daddel","dadel, dactylus","päivämäärä","date, rendez-vous, datent, datez, datons, datte","Termin, Zeitangabe, Datum, Zeitpunkt, Datum","-","data, dattero","nendai, nengappi, hidzuke, ouse, de-tsu, de-to","caryota","daddel, avtale","tâmara, data","datil, dátil, fecha, data","tarehe","datum, årtal, datera, tidpunkt, dadel"
"daughter","datter","dochter","-","fille","Tochter","-","figlia","goreijou, otome, shoujo","filia, puella","datter","filha","hija","binti","dotter"
"dawn","daggry","aurora, morgenlicht, morgenrood","aamurusko","aurore, crêpecrépuscule","Morgendämmerung, dämmern, Dämmerung","-","crepùscolo, aurora, albeggiare, alba","keimei, reimei, tenmei, akegata, gyouten, sougyou","eos","daggry","alvorecer","creusculo, atardecer, amanecer, albor, alba","-","gryning, gry, daggryning, dagas"
"Day","dag","dag","päivä","journée, jour","Tag","-","giorno","dei, hi, di","dies","dag","dia","dia, día","siku","dag"
"dear","kær, værdifuld, dyr","geacht, gezien","kallis","cher","liebe, lieb, lieb, lieber, sehr geehrte","mahal","caro","koishii, kawaii, natsukashii","carus","kostbar, kjær, dyr","caro","estimado, caro","ghali","kär, rar, dyr"
"december","december","december, wintermaand","joulukuu","décembre","Dezember","Desember","dicembre","juunigatsu","December","desember","Dezembro","diciembre","Desemba","december"
"deep","dyb","laag, zwaar","syvä","viscérale, profond","tief","-","cupo","fukai, yuuyuutaru, okubukai, shin'en, atsui, di-pu","-","dyp","profundamente","profundo, hondo","refu","djup"
"defeat","besejre, nederlag","nederlaag","voittaa","vainqent, vainquez, défaite, vaincre, vainqons","vernichten, besiegen, Niederlage","-","sconfitta, vincere","make, daha, haizan, haisen, rai, okure, fukaku","vincere","nederlag","derrota","derrota, vencer","-","nederlag"
"degree","grad, titel","trap, mate, graad","aste","licence, intitulé, titre, degré","Stufe, Maß, Grad, Grad, Stufe","derajat","grado, licensa","kagen, katagaki, hodo, doai, jisuu, shougou, teido","-","grad, eksamen","grau","licencia, grado","-","grad"
"desert","udørken","wildernis, woestenij, woestijn","autiomaa","désertez, quitter, désertons, désertent, déserter","verlassen, verlassen, Wüste, wüst, Wüste","-","deserto","areno, sabaku","arena","desertere, forlate, ørken","deserto","desierto, abandonar","-","desertera, öken"
"design","plan, tegne","werkje, schets, tekening","piirtää","dessin, planification, dessiner, projet, croquer","Planung, entwerfen","-","progetto, disegno, abbozzare, progettazione","gara, ishou, sekkei, egara, sakui, zugara, deshine","-","tegning, bykart","projeto","propósito, diseño, minuta, planear, inciso","shauri","planera"
"die","dø","doodgaan, overlijden, sterven","kuolla","meurs, mourir, mourez, mourons, décéder, meurent","sterben","-","estinguersi","saikoro, kieuseru","alea, acquiescere, cubus, necare","dø","dado, morrer","expirar, morir","-","dö, tätning"
"direct","lige","mennen, dirigeren, richten, besturen","suora, opastaa, suunnata","dirigeons, dirigez, direct, guider, diriger","direkt, lenken, unmittelbar","pimpin","dirigere, regolare","jiki, jikijiki, chokusetsuteki, masugu, massugu","-","styre, direkte, rettlede","direto","mandar, impuestos, directo","-","styra, rikta, hänvisa, direkt, stadga"
"disappear","forsvinde","verdwijnen, wijken","-","se perdre, disparaissent, disparaissez, disparais","verschwinden, verschwinden, verschwinde","hilang","scomparire, andar perduto","kieuseru, shoushitsu","abolescere","forsvinne","desapareça","desaparecer","-","försvinna"
"disease","sygdom","ziekte, kwaal, aandoening","-","maladie","Erkrankung, Krankheit, Krankheit","penyakit","malattia","byouki, shippei, yamai, shikkan","morbus","sykdom","doença","enfermedad","ugonjwa","-"
"distance","afstand","afstand, eind","etäisyys","distance, créneau","Entfernung {f}, Abstand {m}","-","spazio, ablazione","enkin, kyori, koutei, michinori, hedatari","-","avstand, distanse","distância","alejamiento, distancia, lontananza","mwendo","distans, avstånd, håll, sträcka"
"divide","dele","afzonderen, afscheiden, scheiden","jakaa","divisez, disperser, répartissent, répartissez","scheiden, dividieren, teilen, aufteilen","bagi ... membagi","spartire, dividere","hanasu, kaku, bunsuisen, hou, bunsuisanmyaku, bou","abrumpere, abiungere","skille, dele, dividere","dividir, divida","dividir","-","avdela, skilja, skifta, indela, uppdela, dela"
"doctor","læge, doktor","doctor","lääkäri","médecin, docteur","Arzt {m}","tabib","dottore, medico","dokutoru, i, haku, dokuta-, sensei, hakushi, ika","-","doktor, lege","médico, doutor","medico, médico, médico, doctor","mganga, daktari","doktor, läkare"
"dog","hund","hond","koira","clebs, chien","Hund","-","cane","inu","canis","hund","cão","perro","mbwa","hund"
"donkey","æsel","ezel","aasi","aliboron, âne","Esel","-","àsino","usagiuma, donki-, roba","asinus","esel","asno, burro","asno, burro","punda","åsna"
"door","dør","portier, deur","ovi","porte","Tür","-","porta","toguchi, kadoguchi, monko, tobira","ianua","dør","porta","-","mlango","lucka, dörr, port"
"doubt","tvivl, tvivle","dubben, twijfelen, in dubio staan","epäillä","doutent, doutez, doute, doutons, douter","Zweifel, Zweifel, anzweifeln","bimbang","mettere in dubbio, dubitare, dubbio","gigi, gimon, dauto, gishin, gi, utaguri, utagai","addubitare, dubitare, dubium","-","dúvida, duvidar","dudar, dudar, duda","-","tvivla, betvivla, tvivel"
"dove","due","duif, tamme duif","kyyhkynen","colombe, pigeon","Taube","-","piccione","hato","columba","due","pombo, pomba","pichón","-","duva"
"dream","drømme","dromen, mijmeren","uni, uneksia","songer, révons, songe, rêvez, rêvent, rêver de","Traum, phantasiere, träumen, träumen","mimpi, impian, bermimpi","sognare, sogno","yume, musou, maboroshi, negaigoto, dori-mu","-","drømme, drøm","sonho","soñar, ensue o, soñar, so ar","ndoto","dröm"
"dress","klæde sig, kjole","een verband omleggen","puku","habiller, se, vêtons, habillent, habillement, vêts","Kleid","-","vestito, vestire, sè, abbigliare","emon, doresu, fuutei","vestire","antrekk, kle seg, kjole","vestido","revestir, vendar, vestirse, vestir, vestido","-","kläda, klänning, dräkt, klä på sig, göra toalett"
"drink","drik, drikke","pimpelen, drinken, zuipen","juoda","boisson, s'enivrer, boivent, boire, buvez","trinken, Getränk","-","bevanda, bere","dorinku, pota-ju, nomimono","bibi, bibere","drikke","beber, bebida","bebida, beber","-","dricka, dryck, supa"
"drunk","drukken","dronken, zat, beschonken","juopunut","bu, ivre, bus, bues, bue","getrunken, betrunken","-","ebbro","hebereke","ebrius, appotus","full","bêbedo","bebido, borracho","-","full, drucken"
"dry","tør, tørre","dor, droog","kuiva","séchent, séchage, sécher, sec, sèche, séchez","trocken, trocken, abtrocknen","kering","asciutto, asciugare, asciugare, secco","dorai, sakuzen, kochikochi, mumikansou, kansou","-","tørr, tørke","seco","seco, arido, arido, secar","kavu","torr, torka"
"dust","støv","stof","pöly","poussiére, poussière","staub, abstauben, Staub","debu","polvere","chiri, funjin, obutsu, hokori","-","støv","pó, poeira","polvo, tamo","-","stoft, damma"
"duty","pligt","plicht, verplichting","velvollisuus","obligation","Pflicht, Pflicht, Verpflichtung","kewajiban","dogana","sekinin, sekimu, kinmu, yakume, nin, jingi, giri","-","toll, plikt","dever","deb, deber","-","tull, plikt, tjänst, åliggande, bestyr"
"each","al","ieder, elk, al, iedere, alleman","jokainen","chacun, chaque","jede, jeder, jeder, jede","tiap","ogni, qualunque, ogni","sorezore, onoono, gotoni, kaku, kakko, sorezore","-","hver enkelt, alle","cada um, todo","cada","ote, kila","var, varje, var och en, vardera"
"eagle","ørn","adelaar, arend","kotka","aigle","Adler {m}","-","aquila, àquila","i-guru, washi","aquila","ørn","águia","aguila, aguila, águila","-","örn"
"ear","øre","oor","korva","oreille, épi","Kopf, Ohr","telinga","orecchio","mimi, jibiinkousenmon'i, jibiinkouka","auricilla, auris, spicus, aristo, spica, auricula","øre","orelha, ouvido","oreja, oído","sikio","ax, öra"
"earth","jord","aanaarden","maa","mondiale","Erde","-","mondo, terra","tsuchi, yochi, chi, a-su, daichi, koudo","tellus, terra","verden, jord","terra","tierra","kiwanja","mull"
"east","øst","oosten","itä","est","Osten, Osten","-","est","azuma, touzainanboku, higashi, roppou, i-suto","-","øst","leste","este","mashariki","ost"
"easy","let, nem","licht, vlot, makkelijk","helppo","léger, facile","unschwer, leicht","-","semplice, poco pesante","zousanai, yasashii, tayasui, karuyaka, kotonashi","facilis","behagelig, rolig, lett","fácil","facil, fácil","rahisi","ledig, lätt, obesvärad, mak"
"effect","resultat, udfald","indruk, effect","teho","effet","Ergebnis, Eindruck, Wirkung","akibat","effetto","tegotae, efekuto, dekibae, kounou, kouyou, kai","-","virkning, effekt","efeito","efecto","-","effekt, verkan, förmedla"
"egg","æg","ei","muna","oeuf","Ei","-","uovo","-","ovum","egg","ovo","huevo","yai","ägg"
"eight","otte","acht","kahdeksan","huit","acht","delapan","otto","hatsu, hachi, yattsu, eito, yatsu, ya","octo","åtte","oito","ocho","nane, nane","åtta"
"eighteen","atten","achttien","kahdeksantoista","dix huit, dix-huit","achtzehn","-","diciotto","juuhachi","duodeviginti","atten","dezóito, dezoito","dieciocho","kumi na nane, kumi na -nane","aderton"
"elephant","elefant","olifant","norsu","éléphant","Elefant","gajah","elefante","zou","barrus, elephantus","elefant","elefante","elefante","ndovu, tembo","-"
"eleven","elleve","elf","yksitoista","onze","elf","-","undici","irebun, juuichi","undecim","elleve","onze","once","kumi na -moja, edashara, kumi na moja","elva"
"employ","tilbringe, bruge","aannemen, huren, aanwerven","palkata, käyttää","braquer, embaucher, employez, engager, employent","Beschäftigung, anstellen, beschäftigen","menggunakan, gunakan","occupare","you","-","ansette","empregar, empregue, usar","colocar, usar","-","anställa"
"empty","tømme, tom","hol, ledig, lens, loos, leeg","tyhjä","videz, vident, vidanger, vider, vidons, vide","ausleeren","leher, kosong","vuotare, vuoto, evacuare","karappo, munashii, shinkuu, utsuro, enputi-","inanis, vacuus","tom","vácuo, vazio","evacuar, vacio, vacío, vacío","tupu","tömma, tom"
"end","fuldende, ende","uiterste deel, einde, uiteinde","loppu, lopetta","se dénouer, finir, terminaison, fin, finissons","Schluß, beende, Ende, Ende","akhir, berakhir","al punto più estremo, chiusa, traguardo, finire","shuuryou, shimekiri, shimekukuri, shimekiri, ate","finis","utløpe, slutt","extremidade, fim","terminar, finir, final, término, meta, basta","mwisho","slut, ända, ände, stump, sluta, utgång"
"ending","ende","uitgang, uiteinde","loppu","fin, finissant","Ende, endend","akhir","ultimazione","musubi, endingu","finis","slutt, endelse, avslutning","fim","final, término, terminacion","mwisho","ändelse"
"engine","lokomotiv","locomotief","kone, veturi, moottori","réacteur, moteur, machine, propulseur","Motor, Triebwerk, Lokomotive, Maschine, Maschine","motor, mesin","locomotiva, ordigno, motore, gruppo motore","enjin, kikansha, kikan, enjinhatsudouki","-","maskin, motor","motor, locomotiva","maquina, motor, máquina, artefacto","mtambo, mashine","maskin, motor, lokomotiv"
"enough","nok, tilstrækkelig","genoeg, voldoende","kylliksi","suffisant, passable, assez","genug","-","abbastanza","juubun, juubun, rokuni","-","nok","bastantes, bastante","basta","a kutosha","nog"
"entire","hel","compleet, geheel, gans, vol","koko","global","ganze","-","globale","zenbu, zen, zenmen, kozentaru","totus","hel","inteiro","entero, todo","zima","locka, total, hel"
"envelope","konvolut","couvert, envelop, enveloppe","kirjekuori","enveloppe","Briefumschlag, Briefumschlag, Hülle, verhüllen","amplop","involucro, compressa, velare","enbero-pu, fuutou, uwadzutsumi","-","konvolutt","envelope","sobre, embozar, compresa","-","kuvert"
"error","fejl","fout, dwaling, abuis, vergissing","virhe","erreur, abus","Irrtum, Irrtum","salah, kesalahan","vizio, errore","sonji, ayamachi, gosa, shittai, shissaku, ochido","error","mistak, feil","defeito, erro","equivocación, deformidad, error, desperfecto","kosa","villfarelse, misstag, fel"
"estate","bondegård","goed, boerderij, landgoed, bezitting","maatila","bien, domaine, propriété foncière, richement","Grundbesitz, Besitztum, Gutshof","-","fattoria","esute-to, jisho, shiyuuchi","villa, vicus","gods, gård, eiendom, bo","fazenda, granja, propriedade","granja, finca","-","gods, egendom, ägor, gård, lantegendom, stärbhus"
"estimate","vurdere","schatten, begroten, waarderen, taxeren","arvioida","devis, estiment, estimons, estimation, chiffrer","abschätzen, glauben","menaksir, taksir","valutazione, valutare, fabbisogno, valutare","yosoudaka, kentou, sekisan, yosan","appretiare, æstimare, taxare","vurdering, overslag, beregne, taksere","avaliar, estimativa, orçar","estimar, valorar, tasacion, juzgar","-","värdera, bedöma, uppskatta"
"Europe","Europa","Europa","Eurooppa","Europe","Europa","Eropah","Europa","youroppa, yo-roppa","-","Europa","Europa","Europa","Ulaya","Europa"
"evade","undvige, undgå","ontwijken, mijden, uit de weg gaan","välttää","évader, évadez, éluder, évadons, éviter, évadent","ausweichen","menghindari, hindari","schivare","-","abscedere, vitare","lure seg unna, unngå","evitar","evadir","-","undanbe sig"
"even","flad, regelmæssig, selv, lige","gelijk, vlak, effen","yhtäläinen, tasainen, vieläpä","soi même, plat, même, droite, égal","gerade (Zahl), Gerade, gerade, gleichmäßig","-","anzi, perfino, personalmente, una volta, pari","nimo, sae, heikatsu, hiratai, i-bun","vel","flat, glatt, lik, til og med, jevn, selv om","mesmo, nivele, até","incluso, mismo, igual, plano, liso","-","slät, jämn, även, plan, än"
"ever","nogensinde","eenmaal, eens, wel eens, ooit","jolloinkin, tahansa","jaùais","jemals","-","a secondo","toko, so, sou, eba-, katte, katsute","-","alltid, noensinne, stadig","sempre","alguna vez","o -ote","någonsin"
"every","al","elk, ieder, alleman, iedere, al","jokainen","toute, chacun, chaque","jeder, jeder, alle","tiap","ogni, ogni, qualunque, tutti","sorezore, kaku, kakuhan, hyappan, onoono, mai","-","enhver","todo, cada","cada","ote, kila","var, varenda, varje"
"everyone","al","iedere, al, ieder, alleman, elk","jokainen","chacun, tout le monde, chaque","Jeder, jedermann","tiap","ognuno, qualunque","minasan, minasama, minna, nanpitomo, daremo","-","alle","todo, todos","cada, todo el mundo","ote, kila","alla"
"example","eksempel","toonbeeld, voorbeeld","esimerkki","exemple, ex","Beispiel, Vorbild, Beispiel","umpama","esempio, modello","hyouhon, reidai, reikai, rei, tatoe, jitsurei","proplasma, exemplar","eksempel","exemplo","cala a, ejemplo","-","exempel, föredöme"
"expensive","kær, værdifuld, dyr","kostbaar, dierbaar, lief, duur, waard","kallis","coûteux, cher, cherère","teuer, teuer, kostspielig","mahal","caro, costoso","takai, ekusupenshibu","carus","kostbar, dyr","caro","caro, costoso","ghali","dyr"
"expire","dø","aflopen, ophouden, uitgaan, eindigen","kuolla","expirons, expirez, expirer, échoir, échois, mourir","verfallen","berakhir","decorrere, decadere","ekusupaia","necare, acquiescere","utløpe, utløpe, utånde","morrer","caducar, salirse","-","utlöpa, slockna, förfalla"
"eye","øje","kijker, oog","silmä","maille, oeil","Auge {n}","mata","occhio","manako, me, boushi","oculus","øye","olho","ojo","jicho","ögla, öga"
"face","ansigt","het hoofd bieden","kasvot","visage, face, affronter","beschichten, Miene, Gesicht","muka","viso, contrastare","men, mentsu, omote, feisu, omo, omokage, uwabari","facies, vultus","ansikt, stå overfor, tallskive, overflate","cara","fisonomía, cara, faz, rostro","uso","ansikte, front"
"fact","faktum","feit","tosiasia","factum","Tatsache, Tatsache, Faktum","kenyataan, fakta","realtà","arugamama, fakuto, koto, jittai, arinomama","-","faktum, kjennsgjerning","fato","hecho","-","faktum"
"factory","fabrik","fabriek","tehdas","fabrique, maison de commerce, usine","Fabrik","-","ditta, fabbrica","fakutori, koujou, kouba, fakutori-","-","fabrikk","fábrica","fábrica, fabrica, fábrica","karakana, kiwanda","fabrik"
"faint","svag","zwak","pyörtyä","s'évanouir, défailles, défaillez, défaillir","matt, Ohnmacht","lemah","deliquio","bon'yari, awai, shisshin, kontou, kizetsu","-","svak, besvime, matt","fraco, débil","desmayarse, deliquio, desmayo","hafifu","matt, svimma, dåna"
"fair","blond, retfærdig, torv","marktplein, markt, bazaar, marktplaats","markkinat, vaalea, oikeudenmukainen","blond, exposition, foire, marché, kermesse, juste","blond, angemessen, gerecht, heiter/blond","adil","fecente, esposizione, biondo, messa","soutou, ennichi, haku, hakurankai, ryoushinteki","-","-","justo","catiro, rubio, exposicion, decente, mercado, justo","soko","hygglig, mässa, marknad, blond, fager, ljus"
"faithful","tro","trouw, getrouw","uskollinen","loyal, fidèle","sinngetreu, treu, vertraünsvoll","setia","fido","chuujitsu, shinmyou, mame, seijitsu, shinjinbukai","-","trofast","fiel","fiel","-","trogen, trofast"
"false","falsk","loos, bedrieglijk, dubbelhartig","-","postiche, bâtard, incorrect","unwahr","palsu","fasullo, imitato","heki, giji, mousetsu, sorazorashii","falsus","falsk, uekte","falso","impropio, falso","-","osann, bedräglig, falsk"
"family","familie","gezin, huisgezin, huis, familie","perhe","famille","Rechnerfamilie, Familie","keluarga, pamili","famiglia","shuzoku, famiri-, kazoku, katei, rui, kenzoku","familia","familie","família","familia","-","familj, släkt, ätt"
"farewell","afsked, farvel","vaarwel, adieu","hyvästi","adieu","Lebewohl, Lebe wohl","-","separazione, addio","saraba, wakare, owakare, miokuri, kokubetsu","ave","farvell, avskjed","adeus","adios, adiós","kwa herini, kwa heri","farväl"
"farm","bondegård","agrarisch","vuokrata maata, vuokrasopimus, maatila","domaine, affermer, afferment, affermez, affermons","Farm, Bauernhof","-","fattoria","noujou, sakuba, fa-mu","villa, vicus","gård","granja, fazenda","agrario, granja, finca","-","bondgård, lantgård, hemman"
"fast","hurtig, hurtigt, fast","vasten","luja, nopea","vite, nerveux, jeûner, rapide, rapidement, ferme","schnell, schnell, fest","lekas, jepat","presto, quadragesimale","subayai, hayai, hayai, fushidara, hayaku, fa-suto","-","rask, faste, hurtig","rápido, depressa","cuaresma, rápido, aprisa, ayunar","epesi","fasta, fort, snabb"
"fat","fed, tyk, fedt","lijvig, dik","rasva, paksu","gros, graisse, gras, épais","fett","-","grassello, grosso","nikudzukinoyoi, futoi, futotta, abura, potteri","arvina, crassus","fett, fet, tykk","gordo, gordura","engrase, grueso, grasa, gordo","nono, nene","fet, fett"
"father","fader, far","pater, vaartje, papa, vader, ouder","isä","pere, père, dabe","Vater","bapak","padre, babbo","otokooya, daifu, chichioya","abbas, pater","far","pai","padre","baba","far , fader"
"fear","angst, være bange for, være bange","beklemming, angst, benauwdheid","pelätä, tuska","angoisse, craignent, crainte, crains, craignons","fürchten, Furcht, befürchten, angst","-","angoscia, temere, paura, temere","osore, kigi, fea, ifu, kiku, yuuku, osore, ojike","-","frykte, være redd for","receio, recear, medo, temer","recelo, recelar, miedo, temor, temer, miedoso","hofu","befara, farhåga, fruktan, rädsla, frukta"
"feather","-","pluim, veer, pen, veder","kynä","plume","Feder, Feder","-","penna, piuma","feza-, hane","pinna, pluma","fjær","pena","pluma","kalamu","fjäder"
"February","februar","sprokkelmaand, februari","helmikuu","février","Februar","Pebruari","febbraio","nigatsu","-","februar","Fevereiro","febrero","Februari","februari"
"feed","spise, nære, æde, fodre","eten, bikken, gebruiken, vreten","syödä, ravita","nourrir, alimentent, alimentez, alimentons, manger","Eingabe, Papierzuführung, füttern","makan","mangiare, foderare, allattamento, alimentare","esa, shiryou, shimyaku, fi-do, sesshoku","-","måltid, fôre, mate, spise","alimentação","alimentar, nutrir, comer, cebar","-","mata"
"fellow","mand","aaneen, co-, samen-, aaneen-, samen","mies, olio","ensemble, mâle","Bursche, Gefährte, Kerl","-","uomo, fante","tomogara, doushi, yakko, ai, shiromono, yatsu","vir","medlem, stipendiat, kamerat","companheiro, homem","compañero","mwanamume","kurre"
"fetch","hente, bringe","brengen, bezorgen, aandragen","-","apporter, aveignez, amener, aveignent, apportons","Abruf {m}, abrufen, abrufen, hervorholen","ambil ... mengambil","portare, prendere","fecchi","adducere","innbringe, hente","busque","sacar, llevar, traer, buscar, coger","-","apportera, avhämta, hämta"
"fever","feber","koorts","kuume","fièvre","Fieber","demam","febbre","netsu, fi-ba-, netsubyou","-","feber","febre","fiebre","homa","feber"
"field","mark","akker","pelto","champ, arablg","Feld, Feld, Spielfeld, FIELD/Feld, Gebiet","-","territorio, area, quadretto, campo","no, bun'ya, gen'ya, ryouiki, nohara, hara, fi-rudo","ager, arvum","felt, jorde","campo, prado","recinto","shamba","fält, gärde, mark, åker"
"fifteen","femten","vijftien","viisitoista","quinze","fünfzehn","-","quindici","juugo","quindecim","femten","quinze","quince","kumi na -tano, kumi na tano","femton"
"fifty","halvtreds","vijftig","viisikymmentä","cinquante","fünfzig","-","cinquanta","-","quinquaginta","femti","cinqüênta","cincuenta","hamsini","femtio"
"file","fil","bestand, dossier","viilata, rivi","ranger, dossier, classement, limer, lime, rangée","Feile, Kartei, Datei, Briefordner, Reihe","baris","lima, ordinare, deporre, documento","yasuri, fairu","vicis","arkiv, fil, kartotek","fila, lima","reglamentar, lima, expediente, turno, archivador","-","arkivera, fil, mapp, fila"
"finally","endelig","eindelijk, ten slotte, per saldo","-","enfin, finalement","endlich, schließlich","akhirnya","finalmente, alla fine","ageku, sueni, ageku, youyaku, tsuini, sue, toutou","tandem, extremo","endelig, tilslutt","finalmente","finalmente, al fin","-","slutligen"
"fine","bøde, skøn, smuk","net, mooi, schoon, fijn, fraai","kaunis","tendre, amende, délicat, éminent, beau, excellent","fein, gut","cantik, indah","multa, elegante, contravvenzione","bakkin, komaka, fain, shimeta, hosoi, yuuryou","pulcher, formosus","skjønn, bøtele, vakker, utmerket, bot, mulkt, pen","belo, excelente, formoso, multa, muito bem","fino, multa, bonito, excelente, delgado","bora, zuri","vite, vacker, fin, bötefälla"
"finger","finger","vinger","sormi","digitale, chipoter, doigt","Finger","jari","dito","finga-, shushi, tenoyubi, yubi","digitus","ta på, finger, fingre med","dedo","palpar, dedo","kidole","tumma på, finger"
"finished","færdig","beëindigd, afgelopen, afgewerkt, klaar","valmis","prêt","beendete, ausgespielt","siap","perfetto","-","-","ferdig, fullbrakt","terminado, pronto","listo, consumado","tayari","färdig"
"fire","skyde, afskedige, ild","ontzetten, royeren, ontslaan","tuli","larguer, feu, incendiaire, ficher, incendie, tirer","schießen, Feuer, Feuer, zünden","api","buttare fuori, fuoco, incendio, sparare","kasai, faia, houka, hi, hinote, kaki, gogyou, kaji","-","varme, sparke, ild, brann, fyre av, bål, lidenskap","fogo","disparar, incendio, fuego","moto","eld, brasa, brand"
"firm","fast, firma","gevestigd, vast, stevig, hecht","luja","social, robuste, maison de commerce, ferme, solide","fest, Betriebe, standhaft","gagah, firma","comitiva, ditta","shoukai, danko, shoukan, ganjou, fa-mu, tegatai","-","firma, fast, standhaftig","firma","sociedad, firme, firma, sólido","-","fast, firma, orubblig, stadig"
"first","først, første","eerste","-","premier","zunächst, erste, erstens, frühest, erst","-","primo, dapprima","kan, fa-suto, sentou, daiichi, zuiichi, ichiban","primus, primo","første","primeiramente, primeiro","primeramente, primera, primero","a kwanza","förnämst, främst, först"
"fish","fisk, fiske","vissen","kala","poisson, pêchent, pêche à la ligne, pêchez, pêcher","fischen, Fisch, Fisch, angeln","ikan","pescare, pescare, pesce","uo, sakana, fisshu","piscis","fisk, fiske","peixe, peixes","pescar, pescado, pescar, pez","samaki, kuvua","fisk, meta"
"five","fem","vijf","viisi","cinq","fünf","lima","cinque","go, itsutsu","quinque","fem","cinco","cinco","tano, tano","fem"
"flat","flad","appartement, flat","tasainen, laakea","plat, épaté, aplati, appartement","flach, Wohnung, Mietwohnung, Fläche","flat","appartamento, piatto","furatto, heikatsu, heitan, hiratai","-","flat, flate, punktering, leilighet, flat, slette","liso","liso, aplanado, apartamento, bemol, plano, piso","-","våning, fadd, platt, flack, klanglös"
"float","svømme","vlotten, dobberen, drijven","uida","flottent, traquer, flotter, train de bois, flottez","Floß, gleiten, gleiten, Floß","berenang","zattera, nuotare, spingere","yatai, furo-to","natare","flottør, sveve, flåte, flyte, dupp","nadar, flutuador","nadar, balsa","-","vaja, flöte, sväva, flyta"
"floor","etage, gulv","verdieping, etage","kerros, lattia","plancher, étage, foncierère","Fußboden, Boden, Fußboden, Etage","lantai","pavimento, suolo","yuka, furoa-, furoa","-","etasje, golv","andar, soalho, assoalho","pavimento","-","golv, våning"
"flour","mel","meel, bloem","jauhot","farine","Mehl","-","farina","komugiko, kona","-","mel","farinha","harina","unga","mjöl"
"flow","flyde, strøm","stromen, vloeien, lopen, vlieten","virrata","coulons, couler, coulez, flux, courant, écoulement","fließen, Fluß, Flut","alir ... mengalir","fluviale, corrente, fluire","furo-, ryuudou, michishio","-","flo, stige, flyte, strøm","fluxo, corrente","flujo, fluir, corriente","-","flöda, rinna, flyta, flöde"
"flower","blomst","bloem","kukka","fleur","Blume","bunga","fiore, fioritura","kusabana, hana, hana","flos","blomst, blomstre","flor","flor","ua","blomma"
"fly","flyve, flue","aanvliegen","kärpänen, lentää","voler, mouche","fliegen, Fliege","terbang, lalat","andara, mosca, volare","hae, furai, keiyou","volare","flykte, flue, buksesmekk","voar, mosca","mosca, volar, conducir","inzi","fluga, fly, flyga, gylf, vaja"
"fog","tåge","nevel, mist, damp, floers","sumu","masquer, brume, brouillard","verschleiern, umnebeln, Nebel","-","foschia, velare, nebbia, annebbiare","fogu, kiri, enmu","caligo, nebula","dis, tåke, skodde","neblina, névoa","bruma, rebozar, neblina, niebla","-","dimma, tjocka"
